令和７年度 教科別成績分布図（本試験）,,,,,,,,,,,,,,,,,,,,
教科名,満点,最高点,最低点,平均点,標準偏差,受験者数,得点率,５分値Ｆ１,５分値Ｆ２,５分値Ｆ３,５分値Ｆ４,,,,,,,,,
国　語,200,200,0,126.67,34.9,437209,0.6333,94,119,139,159,,,,,,,,,
点数,人数,比率（％）,,,,,,,,,,,,,,,,,,
7,9,0,,,,,,,,,,,,,,,,,,
8,5,0,,,,,,,,,,,,,,,,,,
9,59,0.02,,,,,,,,,,,,,,,,,,
10,36,0.01,,,,,,,,,,,,,,,,,,
11,18,0.01,,,,,,,,,,,,,,,,,,
12,141,0.04,,,,,,,,,,,,,,,,,,
13,97,0.03,,,,,,,,,,,,,,,,,,
14,64,0.02,,,,,,,,,,,,,,,,,,
15,297,0.09,*,,,,,,,,,,,,,,,,,
16,222,0.06,,,,,,,,,,,,,,,,,,
17,194,0.06,,,,,,,,,,,,,,,,,,
18,500,0.14,*,,,,,,,,,,,,,,,,,
19,422,0.12,*,,,,,,,,,,,,,,,,,
20,331,0.09,*,,,,,,,,,,,,,,,,,
21,819,0.23,*,,,,,,,,,,,,,,,,,
22,683,0.2,*,,,,,,,,,,,,,,,,,
23,570,0.16,*,,,,,,,,,,,,,,,,,
24,1138,0.33,**,,,,,,,,,,,,,,,,,
25,1056,0.3,**,,,,,,,,,,,,,,,,,
26,911,0.26,**,,,,,,,,,,,,,,,,,
27,1804,0.52,***,,,,,,,,,,,,,,,,,
28,1553,0.45,***,,,,,,,,,,,,,,,,,
29,1166,0.33,**,,,,,,,,,,,,,,,,,
30,2419,0.69,****,,,,,,,,,,,,,,,,,
31,2326,0.67,****,,,,,,,,,,,,,,,,,
32,1506,0.43,***,,,,,,,,,,,,,,,,,
33,3149,0.9,*****,,,,,,,,,,,,,,,,,
34,3348,0.96,******,,,,,,,,,,,,,,,,,
35,1871,0.54,***,,,,,,,,,,,,,,,,,
36,3788,1.09,*******,,,,,,,,,,,,,,,,,
37,4604,1.32,********,,,,,,,,,,,,,,,,,
38,2310,0.66,****,,,,,,,,,,,,,,,,,
39,4522,1.3,********,,,,,,,,,,,,,,,,,
40,5969,1.71,**********,,,,,,,,,,,,,,,,,
41,2527,0.72,****,,,,,,,,,,,,,,,,,
42,4805,1.38,********,,,,,,,,,,,,,,,,,
43,7683,2.2,*************,,,,,,,,,,,,,,,,,
44,2972,0.85,*****,,,,,,,,,,,,,,,,,
45,5342,1.53,*********,,,,,,,,,,,,,,,,,
46,9313,2.67,****************,,,,,,,,,,,,,,,,,
47,3505,1,******,,,,,,,,,,,,,,,,,
48,5351,1.53,*********,,,,,,,,,,,,,,,,,
